"商品コード","商品名","仕入先コード","仕入先名","在庫数","引当数","フリー在庫数","不良在庫数","欠品数","発注残数","商品区分","商品タグ","取扱区分","適正在庫数","発注点","ロット","原価","売価","在庫金額","表示価格","ＪＡＮコード"
"mg-co12-ch","ダッフルコート_メンズ_グレー","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","7150.00","16450.00","0.00","","4580604900785"
"mg-co21-lg","ウールコート_ライトグレー","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","8250.00","16800.00","0.00","","4580604900792"
"mg-co21-ny","ウールコート","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","8250.00","21000.00","0.00","","4580604900808"
"mg-co22-bk","ダッフルコートレディース_黒_","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","7150.00","16450.00","0.00","","4580604900815"
"mg-co22-ch","ダッフルコート_レディース_グレー","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","7150.00","16450.00","0.00","","4580604900822"
"mg-co23-gy","カシミアウールコクーンシルエットノーカラーコート【ライトグレー】","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","12100.00","19800.00","0.00","","4580604900839"
"mg-co23-ny","カシミアウールコクーンシルエットノーカラーコート【ブルー】","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","12100.00","19800.00","0.00","","4580604900846"
"mg-dp02-de-L","みんなのスキニーパンツ【ノンウォッシュ】Lサイズ","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","2750.00","6900.00","0.00","","4580604900853"
"mg-dp02-de-M","みんなのスキニーパンツ【ノンウォッシュ】Mサイズ","9","ハピネス","0","0","0","0","0","0","通常","","取扱中","0","0","0","2750.00","6900.00","0.00","","4580604900877"
"mg-dp02-de-S","みんなのスキニーパンツ【ノンウォッシュ】Sサイズ","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","2750.00","6900.00","0.00","","4580604900891"
"mg-dp02-lb-L","みんなのスキニーパンツ【ワンウォッシュ】Lサイズ","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","2750.00","6900.00","0.00","","4580604900860"
"mg-dp02-lb-M","みんなのスキニーパンツ【ワンウォッシュ】Mサイズ","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","2750.00","6900.00","0.00","","4580604900884"
"mg-dp02-lb-S","みんなのスキニーパンツ【ワンウォッシュ】Sサイズ","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","2750.00","6900.00","0.00","","4580604900907"
"mg-dp03-de","ワイドデニムパンツ_濃いブルー","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","5335.00","9980.00","0.00","",""
